01/12/2020;10;Robin;False;DR.400 120A Petit Prince;1
01/12/2020;10;Robin;False;DR.400 180 Regent;1
01/12/2020;10;Robinson;False;R22 Mariner II;1
01/12/2020;10;Slingsby Aviation Ltd;False;SLINGSBY T67M MKII Firefly;1
01/12/2020;10;Socata;False;TB10 Tobago;546
01/12/2020;10;Socata;False;TB20 Trinidad;2813
01/12/2020;11;Aerospatiale;False;Squirrel AS.350 B;1
01/12/2020;11;Aerospatiale;False;Squirrel AS.350 B2;1
01/12/2020;11;Airbus;Easyjet;Airbus A320-214;1
01/12/2020;11;Airbus;False;A320 214;353
01/12/2020;11;Airbus;False;A320 232SL;347
01/12/2020;11;Airbus;False;A330 203;1
01/12/2020;11;Airbus;False;A330 243;1
01/12/2020;11;Airbus;False;A330 302;1
01/12/2020;11;Airbus;False;ACJ319 133X;1
01/12/2020;11;Airbus Industrie;False;AIRBUS A319-131;1
01/12/2020;11;Airbus Sas;Easyjet Airline Company Limited - United Kingdom;320-251N;1
01/12/2020;11;Aquila;False;AT-01 A-210;1
01/12/2020;11;Beech;False;Baron 58;457
01/12/2020;11;Beech Aircraft Corporation;False;BEECH 200 Super Kingair;1
01/12/2020;11;Bell Helicopter Textron Canada Ltd;False;BELL 407;1
01/12/2020;11;Boeing;Ace Belgium Freighters;Boeing 747-4EVERF;1
01/12/2020;11;Boeing;Asl Airlines France S.a. - France;Boeing 737-48E (SF);1
01/12/2020;11;Boeing;False;737NG 8K2/W;1
01/12/2020;11;Boeing;False;737NG 958ER/W;1
01/12/2020;11;Boeing;False;747 467F;1
01/12/2020;11;Boeing;False;777 206ER;1
01/12/2020;11;Boeing;False;777 300ER;1
01/12/2020;11;Boeing;False;Boeing 777 300ER;850
01/12/2020;11;Boeing;Royal Air Maroc;737NG 7B6/W;1
01/12/2020;11;Boeing Company;British Airways;Boeing 787-10;1
01/12/2020;11;Boeing Company;Dhl Air;BOEING 757-236;1
01/12/2020;11;Boeing Company;False;BOEING 777-236;1
01/12/2020;11;Boeing Company;False;BOEING 787-9 Dreamliner;1
01/12/2020;11;Bombardier;Air Nostrum;CRJ-1000;1
01/12/2020;11;British Aerospace;Valljet;Hawker 900XP;1
01/12/2020;11;Cessna Aircraft Company;False;510;1023
01/12/2020;11;Cessna Aircraft Company;False;525A;1
01/12/2020;11;Cessna Aircraft Company;Globeair;510;1
01/12/2020;11;Dassault;False;Falcon 20 C;1
01/12/2020;11;Dassault;False;Falcon 2000EX EASy;1
01/12/2020;11;Dassault;Spanish Air Force;Dassault Falcon 900;1
01/12/2020;11;Diamond Aircraft;False;Diamond Star DA40D;1114
01/12/2020;11;Diamond Aircraft;False;Twin Star DA42;1
01/12/2020;11;Dornier;False;Do 228 212;1
01/12/2020;11;Embraer;False;EMB-190 LR;859
01/12/2020;11;Embraer;False;EMB-195 LR;1
01/12/2020;11;Embraer;False;Embraer EMB-190 LR;1
01/12/2020;11;Embraer;False;Phenom 300;1
01/12/2020;11;Embraer;Klm Cityhopper;ERJ-175STD;3126
01/12/2020;11;Embraer;Klm Cityhopper;Embraer ERJ-175;1
01/12/2020;11;Empresa Brasileira De Aeronautica Sa;False;EMB-145MP;1
01/12/2020;11;Eurocopter;False;EC120B Colibri;180
01/12/2020;11;Eurocopter;False;EC135 T2+;1
01/12/2020;11;Eurocopter;False;Squirrel AS.350 B3;1
01/12/2020;11;False;False;False;630422
01/12/2020;11;False;Klm;Boeing 787-9 Dreamliner;1
01/12/2020;11;False;Virgin Atlantic Airways;Airbus A350-1041;1
01/12/2020;11;Flight Design;False;Flight Design CT 2K;1
01/12/2020;11;Issoire Aviation;False;APM-30 Lion;1
01/12/2020;11;Mooney;False;M.20M TLS;1
01/12/2020;11;Piper;False;PA-28 161 Cadet;1
01/12/2020;11;Piper;False;PA-28 161 Warrior III;1
01/12/2020;11;Piper;False;PA-28 181 Archer II;1
01/12/2020;11;Piper;False;PA-34 220T Seneca III;1
01/12/2020;11;Reims Aviation Sa;False;REIMS CESSNA F150M;1
01/12/2020;11;Reims/cessna;False;F152;1
01/12/2020;11;Reims/cessna;False;F172;1
01/12/2020;11;Reims/cessna;False;F172M;1178
01/12/2020;11;Reims/cessna;False;F172P;1
01/12/2020;11;Robin;False;DR.400 140B Major;1
01/12/2020;11;Robin;False;DR.400 160 Chevalier;37
01/12/2020;11;Robin;False;DR.400 180 Regent;1
01/12/2020;11;Robin;False;DR.400 2+2 Tricycle;1
01/12/2020;11;Robinson;False;R22 Mariner II;1
01/12/2020;11;Socata;False;TB20 Trinidad;2653
01/12/2020;12;Aerospatiale;False;Squirrel AS.350 B2;1
01/12/2020;12;Agusta-bell;False;AB.206B Jet Ranger II;1
01/12/2020;12;Airbus;Capital Airlines;A330 343E;1
01/12/2020;12;Airbus;Easyjet;Airbus A320-214;1
01/12/2020;12;Airbus;False;A319 112;1
01/12/2020;12;Airbus;False;A320 214;1
01/12/2020;12;Airbus;False;A320 232SL;3015
01/12/2020;12;Airbus;False;A330 203;1147
01/12/2020;12;Airbus;False;A330 302;1
01/12/2020;12;Airbus Sas;Easyjet Airline Company Limited - United Kingdom;320-251N;1
01/12/2020;12;Beech;False;Baron 58;1009
01/12/2020;12;Beech Aircraft Corporation;False;BEECH 200 Super Kingair;1
01/12/2020;12;Boeing;Etihad Airways;787-9 Dreamliner;1
01/12/2020;12;Boeing;Etihad Airways;Boeing 777 FFX;1
01/12/2020;12;Boeing;False;737NG 7K2/W;1
01/12/2020;12;Boeing;False;737NG 85P/W;1
01/12/2020;12;Boeing;False;737NG 8K2/W;274
01/12/2020;12;Boeing;False;747 467F;1
01/12/2020;12;Boeing;False;777 300ER;1
01/12/2020;12;Boeing;False;Boeing 737 4S3SF;1
01/12/2020;12;Boeing;Royal Air Maroc;737NG 7B6/W;62
01/12/2020;12;Boeing Company;Dhl Air;BOEING 757-236;1
01/12/2020;12;Bombardier;Air Nostrum;CRJ-1000;345
01/12/2020;12;Bombardier;False;CRJ 700;1
01/12/2020;12;British Aerospace;Valljet;Hawker 900XP;1
01/12/2020;12;Canadair Regional Jet;Air Nostrum;CRJ-1000;1
01/12/2020;12;Cessna;False;210N Centurion;1
01/12/2020;12;Cessna Aircraft Company;False;525C;1
01/12/2020;12;Dassault;False;Falcon 20 C;1
01/12/2020;12;Dassault;False;Falcon 2000EX EASy;1
01/12/2020;12;Dassault;Masterjet;Falcon 2000;1
01/12/2020;12;Dassault;Spanish Air Force;Dassault Falcon 900;1
01/12/2020;12;Diamond Aircraft;False;Katana DA20-A1;1
01/12/2020;12;Dornier;False;Do 228 212;1
01/12/2020;12;Embraer;False;EMB-190 LR;18897
01/12/2020;12;Embraer;False;EMB-190 STD;1
01/12/2020;12;Embraer;False;EMB-195 AR;617
01/12/2020;12;Embraer;False;Embraer EMB-190 LR;3057
01/12/2020;12;Embraer;False;Phenom 300;1
01/12/2020;12;Embraer;Klm Cityhopper;ERJ-175STD;1
01/12/2020;12;Embraer;Klm Cityhopper;Embraer ERJ-175;1
01/12/2020;12;Embraer;Tap Express;EMB-195 AR;1
01/12/2020;12;Embraer;Ukraine International Airlines;Embraer 195LR;1
01/12/2020;12;Eurocopter;False;EC120B Colibri;1001
01/12/2020;12;Eurocopter;False;Squirrel AS.350 B3;1
01/12/2020;12;False;False;False;506361
01/12/2020;12;Flight Design;False;Flight Design CT 2K;1
01/12/2020;12;Grob;Force Aerienne Francaise;G-120;467
01/12/2020;12;Gulfstream Aerospace;Executive Airlines;G200;1
01/12/2020;12;Issoire Aviation;False;APM-30 Lion;1
01/12/2020;12;Messerschmitt-bolkow-blohm Gmbh;False;BOLKOW BO 209 MONSUN Monsun;1
01/12/2020;12;Piper;False;PA-28 161 Cadet;1
01/12/2020;12;Piper;False;PA-28 181 Archer II;1
01/12/2020;12;Piper;False;PA-28R T-201 Arrow IV;1
01/12/2020;12;Reims/cessna;False;F172M;522
01/12/2020;12;Reims/cessna;False;F172P;1
01/12/2020;12;Robin;False;DR.400 120 Dauphin 2+2;1
01/12/2020;12;Robin;False;DR.400 120 Petit Prince;1
01/12/2020;12;Robin;False;DR.400 160 Chevalier;1
01/12/2020;12;Robin;False;DR.400 180 Regent;1
01/12/2020;12;Saab-fairchild;False;340 A;1
01/12/2020;12;Slingsby Aviation Ltd;False;SLINGSBY T67M MKII Firefly;1
01/12/2020;12;Socata;False;TB20 Trinidad;1
01/12/2020;12;Sud-aviation;False;GARDAN GY80-180 Horizon;1
01/12/2020;12;Tecnam;False;P.2002 Sierra JF;1
01/12/2020;13;Agusta-bell;False;AB.206B Jet Ranger II;1
01/12/2020;13;Airbus;False;A319 112;1
01/12/2020;13;Airbus;False;A320 214;1
01/12/2020;13;Airbus;False;A320 232SL;1
01/12/2020;13;Airbus;False;A321 211;1
01/12/2020;13;Airbus;False;A330 203;4019
01/12/2020;13;Airbus;False;A330 243;1
01/12/2020;13;Airbus;False;A330 302;1
01/12/2020;13;Airbus;False;Airbus A321 211;1
01/12/2020;13;Airbus Industrie;False;AIRBUS A319-131;1
01/12/2020;13;Beech;False;Baron 58;1335
01/12/2020;13;Beech Aircraft Corporation;False;BEECH 200 Super Kingair;1
01/12/2020;13;Boeing;Asl Airlines France S.a. - France;Boeing 737-48E (SF);1
01/12/2020;13;Boeing;Emirates Airlines;Boeing 777-36N(ER);1
01/12/2020;13;Boeing;Etihad Airways;787-9 Dreamliner;1
01/12/2020;13;Boeing;False;737NG 7K2/W;1
01/12/2020;13;Boeing;False;737NG 8K2/W;2067
01/12/2020;13;Boeing;False;777 206ER;1
01/12/2020;13;Boeing;False;777 306ER;1
01/12/2020;13;Boeing;False;777 31HER;27
01/12/2020;13;Boeing;False;Boeing 737NG 8K2/W;1
01/12/2020;13;Boeing;Royal Air Maroc;737NG 7B6/W;1454
01/12/2020;13;Bombardier;False;CRJ 700;1
01/12/2020;13;Bombardier;False;Learjet 40;1
01/12/2020;13;British Aerospace;Valljet;Hawker 900XP;1
01/12/2020;13;Cessna;Air Jetsul;Cessna Citation CJ3;1
01/12/2020;13;Cessna;Air Umbria;Citation XLS;1
01/12/2020;13;Cessna;Cheqair;510 Citation Mustang;1
01/12/2020;13;Cessna;False;172S Skyhawk SP;1
01/12/2020;13;Cessna;False;210N Centurion;1
01/12/2020;13;Cessna Aircraft Company;False;510;2867
01/12/2020;13;Dassault;False;Falcon 2000EX EASy;1
01/12/2020;13;Dassault;Masterjet;Falcon 2000;1
01/12/2020;13;Diamond Aircraft;False;Diamond Star DA40D;2118
01/12/2020;13;Diamond Aircraft;False;Twin Star DA42;1
01/12/2020;13;Dornier;False;Do 228 212;1
01/12/2020;13;Embraer;False;EMB-190 LR;8993
01/12/2020;13;Embraer;False;EMB-190 STD;1
01/12/2020;13;Embraer;False;EMB-195 AR;609
01/12/2020;13;Embraer;False;Embraer EMB-190 LR;1
01/12/2020;13;Embraer;False;Phenom 300;1
01/12/2020;13;Embraer;Klm Cityhopper;EMB-190 STD;1
01/12/2020;13;Embraer;Klm Cityhopper;ERJ-175STD;1
01/12/2020;13;Eurocopter;False;EC120B Colibri;1656
01/12/2020;13;Eurocopter;False;Squirrel AS.350 B3;1
01/12/2020;13;False;False;False;643423
01/12/2020;13;False;Klm;Boeing 787-9 Dreamliner;1
01/12/2020;13;Flight Design;False;Flight Design CT 2K;1
01/12/2020;13;Grob;Force Aerienne Francaise;G-120;475
01/12/2020;13;Gulfstream Aerospace;Executive Airlines;G200;1
01/12/2020;13;Jetstream Aircraft Ltd;False;JETSTREAM 4100 Jetstream 41;1
01/12/2020;13;Messerschmitt-bolkow-blohm Gmbh;False;BOLKOW BO 209 MONSUN Monsun;1
01/12/2020;13;Piaggio;False;P-180 Avanti;1
